id,quelle,betreiber,ladeeinr_art,plz_ort,adresse,ladeart,bemerkungen,anschlussltg_kw,steckertyp_1,p1_kw,steckertyp_2,p2_kw,steckertyp_3,p3_kw,steckertyp_4,p4_kw,inbetrieb_am,x_wert,y_wert
846,bnetza,Lidl Dienstleistung GmbH & Co. KG,Normalladeeinrichtung,1231 Berlin,Einbeckerstr. 59,"","",44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,"","","","",2019-08-23T00:00:00,398632.26353850414,5818709.7845347477
847,bnetza,innogy eMobility Solutions GmbH,Normalladeeinrichtung,12347 Berlin,Gradestraße 100,"","",44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,"","","","",2011-12-23T00:00:00,392803.79206256662,5812523.4761988325
848,bnetza,Allego GmbH,Normalladeeinrichtung,12347 Berlin,Mohriner Allee 21B,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2015-11-27T00:00:00,393422.99789780506,5811528.56699534
849,bnetza,innogy eMobility Solutions GmbH,Normalladeeinrichtung,12351 Berlin,Johannisthaler Chaussee 300,"","",44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,"","","","",2012-09-26T00:00:00,395009.12220609549,5810049.4295070739
850,bnetza,Allego GmbH,Normalladeeinrichtung,12351 Berlin,Johannisthaler Chaussee 335,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2015-09-17T00:00:00,394745.43100026349,5809852.6680375747
851,bnetza,innogy eMobility Solutions GmbH,Normalladeeinrichtung,12355 Berlin,Alt-Rudow 74,"","",44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,"","","","",2011-12-23T00:00:00,397777.59154787532,5808429.278416452
852,bnetza,Kaufland,Schnellladeeinrichtung,12359 Berlin,Gutschmiedtstr. 19,"","",93,AC Kupplung Typ 2,43,AC Kupplung Typ 2,50,"","","","",2019-10-01T00:00:00,394491.40466649039,5810715.02085747
853,bnetza,innogy eMobility Solutions GmbH,Normalladeeinrichtung,12359 Berlin,Möwenweg 42,"","",44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,"","","","",2012-05-23T00:00:00,395285.20044389088,5811169.6040902659
854,bnetza,Allego GmbH,Normalladeeinrichtung,12435 Berlin,Am Plänterwald 2,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2016-06-13T00:00:00,396474.01276875637,5815538.8268844979
855,bnetza,Allego GmbH,Normalladeeinrichtung,12435 Berlin,Kiefholzstr. 44,"","",11,AC Steckdose Typ 2,11,"","","","","","",2017-11-06T00:00:00,395151.88975711557,5816388.2139109448
856,bnetza,Allego GmbH,Normalladeeinrichtung,12435 Berlin,Kiefholzstr. 44,"","",3.7,AC Steckdose Typ 2,4,"","","","","","",2017-11-06T00:00:00,395151.88975711557,5816388.2139109448
857,bnetza,Allego GmbH,Normalladeeinrichtung,12435 Berlin,Puschkinallee,"","",11,AC Steckdose Typ 2,11,"","","","","","",2017-09-26T00:00:00,395164.34926365613,5817101.09352932
858,bnetza,Allego GmbH,Normalladeeinrichtung,12435 Berlin,Puschkinallee,"","",3.7,AC Steckdose Typ 2,4,"","","","","","",2017-09-26T00:00:00,395164.34926365613,5817101.09352932
859,bnetza,Allego GmbH,Normalladeeinrichtung,12437 Berlin,Glanzstr. 3,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2016-06-13T00:00:00,397465.445422814,5814109.5386838187
860,bnetza,"Porsche Zentrum Berlin-Adlershof, Porsche Niederlassung Berlin GmbH",Schnellladeeinrichtung,12487 Berlin,Hermann-Dorner-Allee 98,"","",350,DC Kupplung Combo,350,"","","","","","",2018-05-14T00:00:00,399319.0792508102,5809671.819638053
861,bnetza,"Porsche Zentrum Berlin-Adlershof, Porsche Niederlassung Berlin GmbH",Schnellladeeinrichtung,12487 Berlin,Hermann-Dorner-Allee 98,"","",350,DC Kupplung Combo,350,"","","","","","",2018-05-14T00:00:00,399319.0792508102,5809671.819638053
862,bnetza,Allego GmbH,Normalladeeinrichtung,12489 Berlin,Abram-Joffe-Str. 18,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2015-09-10T00:00:00,399905.28698654706,5810172.34342324
863,bnetza,Allego GmbH,Normalladeeinrichtung,12489 Berlin,Albert-Einstein-Straße 1,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2017-07-04T00:00:00,400571.08251307276,5809949.8645910909
864,bnetza,Allego GmbH,Normalladeeinrichtung,12489 Berlin,Albert-Einstein-Straße 1,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2017-07-04T00:00:00,400571.08251307276,5809949.8645910909
865,bnetza,Allego GmbH,Normalladeeinrichtung,12489 Berlin,Albert-Einstein-Straße 1,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2017-07-04T00:00:00,400571.08251307276,5809949.8645910909
